161,age,gender,genderpref,height,ethnicity,birthplace,Politics,religion,year,activities,college,major,brbs,snack,prelim,meme,friday,date,work,sleep,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,numdated,longestrelationship,toolongtext,commitment
item2,25,male,female,67,white,,2,1,alum,,arts,History,item5,item1,item6,item7,item1,item4,15:00,7to9,Agree,Agree,Sort of Agree,Strongly Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,1,18,72,willsee
item2,18,female,male,63,asian,"Gaithersburg, MD",2,4,freshman,"['culturalclub', 'otherclub']",humec,Human Development,item8,item4,item7,item2,item1,item8,0:34,4to6,Sort of Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,0,0,48,willsee
item2,20,female,male,63,latino,Havana,2,3,sophomore,"['culturalclub', 'otherclub']",aap,Architecture,item11,item4,item5,item5,item1,item2,Early Morning or Before Midnight,7to9,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Strongly Agree,2,11,24,willsee
item1,18,male,female,71,white,New York City ,1,1,freshman,['greeklife'],ilr,Industriak and Labor Relations,item6,item1,item3,item2,item3,item3,18:00,4to6,Agree,Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,1,16,8,onenightstand
item1,21,female,male,64,latino,Barcelona,2,1,junior,['socialclub'],ilr,Economics,item1,item6,item4,item6,item5,item4,19:00,7to9,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Agree,3,96,48,willsee
item2,18,female,male,63,latino,"Boca raton, Florida ",3,2,freshman,"['greeklife', 'otherclub']",hotel,Hotel Administration,item6,item4,item6,item6,item5,item1,afternoon,7to9,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,2,24,3,willsee
item2,20,male,female,70,black,Buffalo,2,4,junior,"['athlete', 'profclub', 'socialclub', 'culturalclub']",cals,Biological Science,item3,item1,item7,item1,item4,item3,19:00,7to9,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Agree,5,15,4,willsee
item3,19,female,male,61,white,"Kings Park, NY",2,1,sophomore,"['clubsports', 'otherclub']",cals,Earth and Atmospheric Sciences,item3,item4,item5,item6,item3,item3,0:00,4to6,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Disagree,1,2,10,meetfriends
item1,20,male,male,66,white,New York,3,2,sophomore,['otherclub'],cals,Biological Sciences,item3,item4,item7,item5,item1,item1,16:30,4to6,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Sort of Agree,0,0,24,meetfriends
item2,20,male,female,69,white,"Tampa, Florida",3,1,sophomore,"['proffrat', 'profclub', 'socialclub', 'culturalclub', 'otherclub']",engineering,Engineering Physics,item4,item4,item1,item3,item4,item7,19:00,4to6,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Strongly Agree,3,18,24,meetfam
item5,19,female,either,66,white,Huntington NY,2,4,sophomore,"['profclub', 'otherclub', 'socialclub']",humec,"Human Biology, Health and Society",item5,item3,item7,item2,item1,item8,14:00,7to9,Agree,Sort of Agree,Disagree,Strongly Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Sort of Agree,1,1,72,willsee
item2,21,male,female,71,white,"Windermere, FL",4,3,senior,"['clubsports', 'ta']",engineering,Chemical Engineering,item4,item2,item2,item1,item6,item4,8,4to6,Strongly Agree,Sort of Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Agree,Agree,2,24,24,willsee
item2,18,male,female,73,white,"Madison, WI",3,3,freshman,['otherclub'],cals,Biology and Society,item13,item6,item7,item1,item1,item1,17:00,7to9,Strongly Agree,Agree,Sort of Agree,Disagree,Agree,Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,0,NA,72 hours?,willsee
item1,19,male,female,71,latino,"Stamford, CT",5,1,sophomore,"['profclub', 'socialclub', 'culturalclub', 'ta']",engineering,Mechanical Engineering ,item6,item4,item3,item3,item2,item7,19:00,4to6,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Sort of Agree,Agree,Strongly Disagree,Agree,Disagree,Sort of Agree,Disagree,Agree,1,1,4,meetfriends
item2,18,female,male,59,asian,"Cary, North Carolina",2,5,freshman,"['socialclub', 'culturalclub', 'otherclub']",humec,Design and environmental analysis ,item11,item1,item7,item2,item1,item3,20:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Sort of Agree,0,Not applicable ,12,willsee
item2,20,female,male,70,white,Lockport,2,1,sophomore,"['socialclub', 'profclub']",cals,Applied Economics and Management,item6,item3,item3,item2,item1,item4,14:00,4to6,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,0,0,5 hours,willsee
item5,20,female,male,68,white,Philadelphia ,4,2,sophomore,"['greeklife', 'profclub', 'socialclub', 'ta']",cals,Applied economics and management,item5,item5,item5,item2,item5,item4,14:00,7to9,Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,2,7,20,meetfam
item2,19,female,male,65,white,Philadelphia,1,1,freshman,"['greeklife', 'otherclub']",humec,Fashion Design Management,item3,item5,item7,item2,item5,item3,11:00,7to9,Sort of Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,0,0,12,willsee
item6,21,male,female,71,asian,New York City,2,1,junior,['otherclub'],engineering,Computer Science,item9,item4,item4,item6,item1,item7,14:00,7to9,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Agree,1,10,6,willsee
item6,19,male,male,70,white,"Los Altos, CA",2,1,sophomore,"['projectteam', 'otherclub']",arts,Computer Science,item4,item3,item1,item2,item1,item3,17:00,7to9,Agree,Disagree,Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Agree,Strongly Agree,2,4,48,willsee
item2,19,male,female,66,latino,Cincinnati,3,2,freshman,"['socialclub', 'otherclub']",arts,History,item13,item3,item7,item1,item1,item8,13:00,7to9,Strongly Agree,Agree,Sort of Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,0,🙅‍♂️,48,willsee
item2,18,female,male,61,black,Rochester ,2,3,freshman,['culturalclub'],humec,Human Development ,item3,item1,item7,item1,item1,item8,23:30,7to9,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,0,,16,willsee
item2,22,male,female,70,white,New York,1,2,senior,"['greeklife', 'projectteam']",engineering,Mechanical Engineering,item6,item1,item7,item6,item1,item3,20:00,7to9,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,4,24,24,willsee
item1,22,male,female,76,other,Almaty,3,1,senior,['proffrat'],cals,Applied Econ & Mgmt,item2,item3,item7,item1,item1,item4,21:00,7to9,Sort of Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Agree,,,10?,willsee
item2,22,female,male,62,white,"Hawley, Pennsylvania ",1,2,senior,"['culturalclub', 'ta']",arts,Classics and Archaeology,item5,item1,item3,item7,item2,item4,21:30,7to9,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Three,40,4,willsee
item2,21,male,female,68,white,Lviv,1,2,senior,"['greeklife', 'projectteam', 'clubsports']",cals,Environmental Science,item13,item1,item7,item2,item5,item4,21:00,4to6,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Agree,3,6,24,meetfriends
item3,19,female,male,73,black,,2,2,sophomore,,humec,Human Development,item12,item6,item3,item1,item1,item1,8:00,7to9,Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,0,o,48,married
item6,20,female,male,67,white,hong kong,3,2,sophomore,['greeklife'],cals,applied economics and management,item6,item3,item7,item6,item3,item6,14:00,7to9,Strongly Agree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Agree,Agree,Sort of Agree,Sort of Agree,2,18,4,married
item6,21,male,female,69,asian,Great Neck,4,2,junior,"['greeklife', 'profclub', 'socialclub', 'culturalclub']",cals,Applied Economics and Management,item13,item4,item2,item2,item1,item7,21:30,4to6,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,1,9,24,willsee
item2,19,female,male,64,latino,Scottsdale ,1,1,sophomore,['socialclub'],ilr,ILR,item13,item3,item7,item7,item3,item3,8:00,7to9,Disagree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,1,2,idk fam,willsee
item2,18,female,male,66,asian,,3,1,freshman,"['culturalclub', 'otherclub', 'socialclub']",arts,Undeclared,item5,item3,item7,item5,item4,item8,21:00,7to9,Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Agree,0,0,24,willsee
item6,21,male,female,72,white,"Fairfax, Va",4,4,senior,"['greeklife', 'ta']",cals,Interdisciplinary Studies,item13,item4,item3,item6,item2,item6,17:00,7to9,Strongly Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,1,18,12,willsee
item2,19,male,female,70,other,Ringoes,2,1,freshman,"['clubsports', 'socialclub']",engineering,Engineering physics,item4,item3,item2,item1,item3,item2,15:00,7to9,Sort of Agree,Sort of Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Agree,2,4,48,willsee
item2,19,female,male,63,asian,"Bronxville, NY",2,2,sophomore,"['socialclub', 'otherclub']",ilr,Industrial and Labor Relations,item6,item4,item3,item5,item1,item7,11:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,0,,,willsee
item6,19,male,female,68,white,Brooklyn,4,2,freshman,"['proffrat', 'socialclub', 'culturalclub']",arts,Economics and Government,item11,item1,item5,item2,item3,item4,19:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,1,4 months,24 hrs,meetfriends
item2,18,female,male,66,latino,"Peekskill, NY (Westchester)",2,4,freshman,"['otherclub', 'culturalclub']",arts,Government,item5,item1,item3,item6,item1,item1,16:00,7to9,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Agree,Strongly Agree,0,0,4,willsee
item2,22,male,male,72,white,Newton,2,2,senior,"['ta', 'socialclub', 'projectteam']",ilr,Industrial and Labor Relations,item1,item3,item7,item1,item1,item3,13:11,7to9,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Sort of Agree,Agree,2,6,24,willsee
item6,23,male,female,74,white,"Morristown, NJ",2,2,senior,"['greeklife', 'clubsports', 'otherclub']",ilr,ILR,item6,item6,item7,item2,item5,item7,23:00,7to9,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,3,13,167,willsee
item1,22,female,female,is,white,"Bloomington, IN",2,1,senior,"['socialclub', 'otherclub']",arts,"Government, German",item11,item1,item2,item7,item2,item4,23:00,7to9,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,5,30,24,willsee
item5,20,male,male,71,white,San Diego,1,1,sophomore,"['profclub', 'otherclub', 'socialclub']",hotel,Hotel Administration,item3,item3,item5,item6,item2,item1,Night,7to9,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Sort of Agree,Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,0,4,24,willsee
item2,18,male,female,71,white,Washington D.C. ,1,2,freshman,['clubsports'],arts,Economics ,item8,item3,item3,item2,item1,item3,10:00,7to9,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,1,3,6,meetfam
item2,19,female,male,66,white,"Setauket, NY ",2,2,sophomore,"['greeklife', 'profclub', 'otherclub']",ilr,Industrial and Labor Relations ,item5,item6,item7,item7,item3,item7,20:00,4to6,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Not many ,Not many ,8+,willsee
item1,20,male,female,73,white,Palo Alto,1,1,junior,"['greeklife', 'socialclub', 'otherclub']",arts,Government,item3,item1,item7,item3,item5,item1,7:00,7to9,Disagree,Disagree,Strongly Agree,Sort of Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,~15,7,24-48,willsee
item6,19,female,male,66,white,NYC,2,1,sophomore,,arts,Psychology,item13,item4,item7,item2,item2,item2,6-Mar,4to6,Strongly Agree,Disagree,Sort of Agree,Disagree,Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,0,1,48,willsee
item2,22,female,male,67,white,Auburn,1,1,senior,,cals,Biology and Society,item13,item5,item6,item1,item6,item3,mid-day/afternoon,7to9,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,1,48,6,willsee
item2,20,female,male,66,asian,Honolulu,5,4,freshman,['culturalclub'],arts,China and Asia Pacific Studies,item9,item1,item5,item7,item1,item8,21:00,7to9,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,0,0,24,meetfam
item2,24,female,male,66,white,,3,3,grad,"['profclub', 'projectteam', 'otherclub']",engineering,Information Science,item1,item3,item1,item6,item5,item8,10:00,4to6,Agree,Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,30,1,2,married
item2,19,male,female,63,white,"Cooperstown, NY",3,2,sophomore,"['greeklife', 'proffrat']",cals,Applied Economics and Management,item4,item1,item6,item6,item5,item3,20:00,4to6,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,3,12,24,willsee
item1,21,female,male,63,asian,Indianapolis,2,1,senior,"['greeklife', 'otherclub']",cals,Animal Science,item13,item3,item7,item6,item5,item4,13:00,7to9,Strongly Agree,Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,2,6,2,meetfriends
item6,21,female,male,68,asian,Bombay,1,2,junior,"['proffrat', 'culturalclub', 'socialclub', 'profclub']",humec,"Human Biology, Health and Society",item3,item1,item6,item6,item2,item2,23:30,7to9,Strongly Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Disagree,Agree,Strongly Agree,2,6 months,A day?? Idek ,willsee
item2,19,female,either,66,white,Boston,2,1,freshman,['otherclub'],arts,Math or chemistry,item13,item3,item5,item7,item1,item3,10:00,7to9,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,0,0,20,willsee
item5,20,female,male,66,asian,,2,2,sophomore,"['socialclub', 'culturalclub']",arts,biological sciences,item13,item1,item5,item2,item3,item7,15:00,4to6,Agree,Sort of Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,2,1,15,willsee
item6,21,male,female,69,asian,Delhi,2,2,junior,['clubsports'],aap,Urban Planning,item6,item4,item3,item1,item1,item7,19:00,7to9,Sort of Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Strongly Agree,2,24,50,meetfriends
item2,20,male,female,68,white,"Pine bush, ny",5,5,junior,"['socialclub', 'culturalclub']",cals,Food science,item5,item6,item7,item6,item1,item1,18:00,7to9,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,2,4,24,married
item2,19,female,male,67,white,"Manchester, NH",2,2,sophomore,"['socialclub', 'culturalclub', 'otherclub']",humec,Policy Analysis & Management,item9,item6,item7,item7,item3,item3,10:00,7to9,Agree,Sort of Agree,Disagree,Disagree,Agree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Strongly Agree,0,0,48,meetfriends
item6,21,female,male,67,white,Rochester NY,3,4,senior,['greeklife'],hotel,Hotel,item6,item1,item2,item5,item3,item3,20:00,7to9,Strongly Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,1,20,6,willsee
item1,18,female,either,65,white,,2,1,freshman,"['proffrat', 'clubsports']",cals,Animal Science,item3,item1,item5,item2,item1,item1,18:00,4to6,Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Agree,Disagree,1,17,3,willsee
item6,20,female,male,68,white,"Ithaca, NY",2,3,sophomore,['profclub'],hotel,Hotel Administration,item13,item1,item7,item5,item3,item3,Evening,4to6,Strongly Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Disagree,Agree,Sort of Agree,Agree,1,9,3,willsee
item6,22,male,female,75,black,"Goldsboro, NC",3,4,senior,"['athlete', 'greeklife']",humec,Human development,item9,item4,item7,item6,item2,item7,22:30,7to9,Strongly Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,2,12,8 hrs,willsee
item1,18,female,female,61,black,N/a,1,1,freshman,,cals,plant sciences,item13,item3,item2,item6,item6,item7,15:45,4to6,Disagree,Sort of Agree,Sort of Agree,Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Sort of Agree,0,0,A day,meetfriends
item2,23,female,male,67,white,Hornell,2,3,grad,"['profclub', 'socialclub', 'ta']",cals,Nutritional Sciences,item6,item5,item7,item6,item2,item3,12:00,7to9,Agree,Strongly Agree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Disagree,Agree,Agree,3,25,,willsee
item2,18,male,female,74,white,"St. John’s, Newfoundland, Canada",2,1,freshman,['athlete'],engineering,Electrical and Computer Engineering ,item4,item3,item3,item5,item5,item8,19:40,7to9,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Agree,Strongly Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Sort of Agree,Agree,Agree,2,36,24,willsee
item1,19,male,female,65,white,Great Neck,3,3,sophomore,"['otherclub', 'culturalclub']",arts,Chemistry and Chemical Biology,item3,item5,item7,item2,item4,item3,11:00,4to6,Sort of Agree,Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Sort of Agree,7,8,4,willsee
item3,19,female,male,65,white,"Newton, MA",2,3,freshman,['clubsports'],engineering,Computer Science,item1,item3,item1,item5,item2,item4,9:00,7to9,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,0,0,24,willsee
item6,19,male,female,75,asian,Germany,4,2,sophomore,"['greeklife', 'projectteam', 'clubsports', 'culturalclub']",engineering,Mechanical Engineering,item13,item1,item2,item2,item5,item3,20:00,4to6,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Sort of Agree,2,24,7-Jun,willsee
item2,21,male,female,68,asian,Middletown NY,3,1,senior,['ta'],cals,Biological Sciences ,item5,item3,item6,item6,item1,item7,15:00,4to6,Sort of Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Sort of Agree,Sort of Agree,0,0,0,willsee
item2,19,female,male,65,white,,2,1,sophomore,"['greeklife', 'otherclub']",cals,Environmental and Sustainability Sciences ,item13,item4,item6,item2,item2,item8,23:00,7to9,Disagree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,1,6,3,willsee
item6,21,female,male,67,asian,Bronx,3,4,senior,"['socialclub', 'culturalclub', 'otherclub', 'ta']",cals,Biological Sciences ,item9,item4,item7,item6,item6,item7,17:00,4to6,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,1,27,8,willsee
item5,18,female,male,66,white,Bronxville ,3,1,freshman,"['greeklife', 'socialclub']",arts,Government,item12,item1,item7,item2,item5,item4,20:00,4to6,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,1,3,12,willsee
item7,18,female,either,69,other,"Greenwich, CT",2,1,freshman,"['socialclub', 'otherclub', 'profclub']",engineering,Computer Science,item3,item4,item7,item1,item2,item1,18:00,7to9,Disagree,Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,Agree,Strongly Agree,1,0,10,meetfam
item2,21,female,male,62,asian,Seoul,3,4,senior,['socialclub'],hotel,Hotel Administration,item1,item4,item7,item5,item1,item4,9:00,4to6,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,2,9,2,willsee
item6,23,male,male,74,other,Ahvaz,2,1,senior,,cals,Biology and Society,item3,item2,item2,item1,item6,item7,12:00,10,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,10,20,36,willsee
item6,22,male,female,73,white,Denver,3,2,senior,['athlete'],arts,Sociology,item13,item2,item2,item1,item3,item4,18:06,4to6,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,2,24,Depends ,willsee
item7,19,female,male,63,white,Lawrence Massachusetts ,3,5,sophomore,"['proffrat', 'socialclub', 'otherclub']",arts,English,item3,item5,item2,item1,item4,item3,20:00,4to6,Sort of Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,5,20,12,willsee
item5,30,male,either,69,asian,Bangkok,4,1,alum,,engineering,Mechanical Engineering,item5,item4,item4,item2,item2,item7,1:00,7to9,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Strongly Agree,Agree,2,3,500,meetfam
item3,19,male,female,69,asian,Silver Spring,3,3,freshman,,cals,Landscape Architecture,item13,item1,item7,item2,item1,item8,16:30,7to9,Agree,Sort of Agree,Agree,Agree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,0,0,4,meetfriends
item6,19,male,either,72,black,Atlanta,3,2,sophomore,"['greeklife', 'clubsports', 'socialclub']",cals,Atmospheric Science,item8,item1,item5,item6,item5,item2,16:00,4to6,Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Strongly Agree,28,10,24,willsee
item1,19,female,male,61,asian,NYC,2,2,sophomore,"['greeklife', 'socialclub', 'culturalclub', 'otherclub']",cals,Biological Sciences,item1,item1,item7,item5,item5,item8,19:00,4to6,Agree,Disagree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Strongly Agree,0,0,4,willsee
